[rospy.client][INFO] 2017-03-30 16:03:25,774: init_node, name[/acrobot_control_node], pid[14452]
[xmlrpc][INFO] 2017-03-30 16:03:25,774: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-03-30 16:03:25,775: Started XML-RPC server [http://hancheol:38485/]
[rospy.impl.masterslave][INFO] 2017-03-30 16:03:25,776: _ready: http://hancheol:38485/
[rospy.init][INFO] 2017-03-30 16:03:25,777: ROS Slave URI: [http://hancheol:38485/]
[rospy.registration][INFO] 2017-03-30 16:03:25,779: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2017-03-30 16:03:25,779: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2017-03-30 16:03:25,877: registered with master
[rosout][INFO] 2017-03-30 16:03:26,569: /acrobot_control_node, u = 8.354309
[rosout][INFO] 2017-03-30 16:03:26,580: /acrobot_control_node, u = 7.487893
[rosout][INFO] 2017-03-30 16:03:26,588: /acrobot_control_node, u = 7.487893
[rosout][INFO] 2017-03-30 16:03:26,602: /acrobot_control_node, u = 6.739763
[rosout][INFO] 2017-03-30 16:03:26,613: /acrobot_control_node, u = 6.739763
[rosout][INFO] 2017-03-30 16:03:26,625: /acrobot_control_node, u = 6.112954
[rosout][INFO] 2017-03-30 16:03:26,636: /acrobot_control_node, u = 6.112954
[rosout][INFO] 2017-03-30 16:03:26,647: /acrobot_control_node, u = 5.577124
[rosout][INFO] 2017-03-30 16:03:26,656: /acrobot_control_node, u = 5.577124
[rosout][INFO] 2017-03-30 16:03:26,668: /acrobot_control_node, u = 5.085801
[rosout][INFO] 2017-03-30 16:03:26,678: /acrobot_control_node, u = 5.085801
[rosout][INFO] 2017-03-30 16:03:26,688: /acrobot_control_node, u = 4.585941
[rosout][INFO] 2017-03-30 16:03:26,702: /acrobot_control_node, u = 4.585941
[rosout][INFO] 2017-03-30 16:03:26,714: /acrobot_control_node, u = 4.028401
[rosout][INFO] 2017-03-30 16:03:26,724: /acrobot_control_node, u = 4.028401
[rosout][INFO] 2017-03-30 16:03:26,735: /acrobot_control_node, u = 3.382716
[rosout][INFO] 2017-03-30 16:03:26,744: /acrobot_control_node, u = 3.382716
[rosout][INFO] 2017-03-30 16:03:26,754: /acrobot_control_node, u = 2.641791
[rosout][INFO] 2017-03-30 16:03:26,764: /acrobot_control_node, u = 2.641791
[rosout][INFO] 2017-03-30 16:03:26,777: /acrobot_control_node, u = 1.814147
[rosout][INFO] 2017-03-30 16:03:26,787: /acrobot_control_node, u = 1.814147
[rosout][INFO] 2017-03-30 16:03:26,798: /acrobot_control_node, u = 0.939674
[rosout][INFO] 2017-03-30 16:03:26,809: /acrobot_control_node, u = 0.939674
[rosout][INFO] 2017-03-30 16:03:26,821: /acrobot_control_node, u = 0.059916
[rosout][INFO] 2017-03-30 16:03:26,830: /acrobot_control_node, u = 0.059916
[rosout][INFO] 2017-03-30 16:03:26,841: /acrobot_control_node, u = -0.773910
[rosout][INFO] 2017-03-30 16:03:26,853: /acrobot_control_node, u = -0.773910
[rosout][INFO] 2017-03-30 16:03:26,862: /acrobot_control_node, u = -1.519132
[rosout][INFO] 2017-03-30 16:03:26,874: /acrobot_control_node, u = -1.519132
[rosout][INFO] 2017-03-30 16:03:26,884: /acrobot_control_node, u = -2.148206
[rosout][INFO] 2017-03-30 16:03:26,896: /acrobot_control_node, u = -2.148206
[rosout][INFO] 2017-03-30 16:03:26,905: /acrobot_control_node, u = -2.644674
[rosout][INFO] 2017-03-30 16:03:26,917: /acrobot_control_node, u = -2.644674
[rosout][INFO] 2017-03-30 16:03:26,928: /acrobot_control_node, u = -2.999888
[rosout][INFO] 2017-03-30 16:03:26,937: /acrobot_control_node, u = -2.999888
[rosout][INFO] 2017-03-30 16:03:26,950: /acrobot_control_node, u = -3.211641
[rosout][INFO] 2017-03-30 16:03:26,962: /acrobot_control_node, u = -3.211641
[rosout][INFO] 2017-03-30 16:03:26,972: /acrobot_control_node, u = -3.283139
[rosout][INFO] 2017-03-30 16:03:26,982: /acrobot_control_node, u = -3.283139
[rosout][INFO] 2017-03-30 16:03:26,992: /acrobot_control_node, u = -3.225137
[rosout][INFO] 2017-03-30 16:03:27,004: /acrobot_control_node, u = -3.225137
[rosout][INFO] 2017-03-30 16:03:27,016: /acrobot_control_node, u = -3.053965
[rosout][INFO] 2017-03-30 16:03:27,027: /acrobot_control_node, u = -3.053965
[rosout][INFO] 2017-03-30 16:03:27,040: /acrobot_control_node, u = -2.791294
[rosout][INFO] 2017-03-30 16:03:27,052: /acrobot_control_node, u = -2.791294
[rosout][INFO] 2017-03-30 16:03:27,063: /acrobot_control_node, u = -2.461129
[rosout][INFO] 2017-03-30 16:03:27,075: /acrobot_control_node, u = -2.461129
[rosout][INFO] 2017-03-30 16:03:27,086: /acrobot_control_node, u = -2.090593
[rosout][INFO] 2017-03-30 16:03:27,098: /acrobot_control_node, u = -2.090593
[rosout][INFO] 2017-03-30 16:03:27,109: /acrobot_control_node, u = -1.706349
[rosout][INFO] 2017-03-30 16:03:27,120: /acrobot_control_node, u = -1.706349
[rosout][INFO] 2017-03-30 16:03:27,132: /acrobot_control_node, u = -1.333484
[rosout][INFO] 2017-03-30 16:03:27,143: /acrobot_control_node, u = -1.333484
[rosout][INFO] 2017-03-30 16:03:27,155: /acrobot_control_node, u = -1.001714
[rosout][INFO] 2017-03-30 16:03:27,166: /acrobot_control_node, u = -1.001714
[rosout][INFO] 2017-03-30 16:03:27,177: /acrobot_control_node, u = -0.733400
[rosout][INFO] 2017-03-30 16:03:27,187: /acrobot_control_node, u = -0.733400
[rosout][INFO] 2017-03-30 16:03:27,201: /acrobot_control_node, u = -0.549406
[rosout][INFO] 2017-03-30 16:03:27,214: /acrobot_control_node, u = -0.549406
[rosout][INFO] 2017-03-30 16:03:27,224: /acrobot_control_node, u = -0.465065
[rosout][INFO] 2017-03-30 16:03:27,235: /acrobot_control_node, u = -0.465065
[rosout][INFO] 2017-03-30 16:03:27,245: /acrobot_control_node, u = -0.489634
[rosout][INFO] 2017-03-30 16:03:27,255: /acrobot_control_node, u = -0.489634
[rosout][INFO] 2017-03-30 16:03:27,268: /acrobot_control_node, u = -0.621620
[rosout][INFO] 2017-03-30 16:03:27,277: /acrobot_control_node, u = -0.621620
[rosout][INFO] 2017-03-30 16:03:27,290: /acrobot_control_node, u = -0.847334
